"","x"
"1",56
"2",111
"3",140
"4",194
"5",196
"6",224
"7",279
"8",280
"9",281
"10",309
"11",364
"12",365
"13",389
"14",390
"15",391
"16",421
"17",470
"18",471
"19",475
"20",476
"21",505
"22",524
"23",528
"24",531
"25",554
"26",559
"27",560
"28",604
"29",609
"30",613
"31",616
"32",619
"33",620
"34",623
"35",628
"36",634
"37",644
"38",646
"39",648
"40",649
"41",650
"42",664
"43",670
"44",674
"45",675
"46",680
"47",689
"48",691
"49",694
"50",698
"51",700
"52",701
"53",703
"54",706
"55",709
"56",718
"57",719
"58",744
"59",746
"60",747
"61",755
"62",764
"63",773
"64",776
"65",777
"66",778
"67",781
"68",783
"69",785
"70",786
"71",789
"72",793
"73",804
"74",828
"75",833
"76",839
"77",844
"78",851
"79",854
"80",855
"81",859
"82",860
"83",861
"84",864
"85",865
"86",866
"87",868
"88",869
"89",873
"90",888
"91",889
"92",896
"93",900
"94",909
"95",910
"96",911
"97",915
"98",916
"99",917
"100",925
"101",929
"102",937
"103",943
"104",944
"105",946
"106",947
"107",956
"108",959
"109",971
"110",996
"111",998
"112",999
"113",1013
"114",1020
"115",1021
"116",1023
"117",1024
"118",1026
"119",1028
"120",1029
"121",1034
"122",1040
"123",1054
"124",1070
"125",1075
"126",1079
"127",1085
"128",1108
"129",1109
"130",1116
"131",1119
"132",1158
"133",1159
"134",1175
"135",1180
"136",1186
"137",1197
"138",1200
"139",1202
"140",1204
"141",1208
"142",1214
"143",1257
"144",1260
"145",1269
"146",1281
"147",1285
"148",1289
"149",1290
"150",1328
"151",1329
"152",1341
"153",1343
"154",1345
"155",1351
"156",1381
"157",1383
"158",1393
"159",1399
"160",1408
"161",1409
"162",1411
"163",1420
"164",1426
"165",1433
"166",1434
"167",1438
"168",1439
"169",1461
"170",1481
"171",1489
"172",1490
"173",1494
"174",1508
"175",1544
"176",1545
"177",1549
"178",1553
"179",1571
"180",1573
"181",1579
"182",1581
"183",1591
"184",1600
"185",1626
"186",1631
"187",1639
"188",1654
"189",1655
"190",1659
"191",1666
"192",1675
"193",1686
"194",1713
"195",1714
"196",1726
"197",1736
"198",1741
"199",1754
"200",1755
"201",1769
"202",1795
"203",1796
"204",1797
"205",1810
"206",1823
"207",1824
"208",1826
"209",1850
"210",1878
"211",1881
"212",1909
"213",1916
"214",1919
"215",1929
"216",1959
"217",1961
"218",1966
"219",1969
"220",1970
"221",1971
"222",1984
"223",1991
"224",1999
"225",2031
"226",2039
"227",2040
"228",2053
"229",2054
"230",2057
"231",2067
"232",2068
"233",2069
"234",2070
"235",2079
"236",2080
"237",2081
"238",2098
"239",2103
"240",2108
"241",2110
"242",2125
"243",2126
"244",2133
"245",2134
"246",2135
"247",2136
"248",2138
"249",2139
"250",2159
"251",2166
"252",2178
"253",2180
"254",2181
"255",2184
"256",2188
"257",2190
"258",2191
"259",2193
"260",2207
"261",2208
"262",2209
"263",2210
"264",2211
"265",2215
"266",2216
"267",2218
"268",2220
"269",2221
"270",2222
"271",2238
"272",2262
"273",2264
"274",2265
"275",2273
"276",2275
"277",2289
"278",2291
"279",2294
"280",2300
"281",2301
"282",2302
"283",2303
"284",2346
"285",2353
"286",2354
"287",2385
"288",2406
"289",2407
"290",2408
"291",2434
"292",2435
"293",2441
"294",2455
"295",2496
"296",2510
"297",2516
"298",2593
"299",2621
"300",2623
"301",2626
"302",2679
"303",2680
"304",2681
"305",2707
"306",2708
"307",2709
"308",2736
"309",2762
"310",2763
"311",2791
